Name,Year,Source,Population,Square_Kilometres,Population_per_square_kilometre
Enfield,2016,GLA Population Projections,331471,80.8,4100.7
Enfield,2017,GLA Population Projections,335647,80.8,4152.4
Enfield,2018,GLA Population Projections,337697,80.8,4177.8
Enfield,2019,GLA Population Projections,339480,80.8,4199.8
Enfield,2020,GLA Population Projections,342993,80.8,4243.3
Enfield,2021,GLA Population Projections,346635,80.8,4288.3
Enfield,2022,GLA Population Projections,349994,80.8,4329.9
Enfield,2023,GLA Population Projections,352879,80.8,4365.6
Enfield,2024,GLA Population Projections,355209,80.8,4394.4
Enfield,2025,GLA Population Projections,356949,80.8,4415.9
Enfield,2026,GLA Population Projections,358342,80.8,4433.2
Enfield,2027,GLA Population Projections,359321,80.8,4445.3
Enfield,2028,GLA Population Projections,359820,80.8,4451.5
Enfield,2029,GLA Population Projections,359937,80.8,4452.9
Enfield,2030,GLA Population Projections,361176,80.8,4468.2
Enfield,2031,GLA Population Projections,362953,80.8,4490.2
Enfield,2032,GLA Population Projections,364916,80.8,4514.5
Enfield,2033,GLA Population Projections,366907,80.8,4539.1
Enfield,2034,GLA Population Projections,368844,80.8,4563.1
Enfield,2035,GLA Population Projections,371481,80.8,4595.7
Enfield,2036,GLA Population Projections,374385,80.8,4631.6
Enfield,2037,GLA Population Projections,377356,80.8,4668.4
Enfield,2038,GLA Population Projections,380361,80.8,4705.6
Enfield,2039,GLA Population Projections,383334,80.8,4742.4
Enfield,2040,GLA Population Projections,386046,80.8,4775.9
Enfield,2041,GLA Population Projections,388564,80.8,4807.1
Enfield,2042,GLA Population Projections,391764,80.8,4846.6
Enfield,2043,GLA Population Projections,395210,80.8,4889.3
Enfield,2044,GLA Population Projections,398809,80.8,4933.8
Enfield,2045,GLA Population Projections,401427,80.8,4966.2
Enfield,2046,GLA Population Projections,401786,80.8,4970.6
Enfield,2047,GLA Population Projections,402018,80.8,4973.5
Enfield,2048,GLA Population Projections,402190,80.8,4975.6
Enfield,2049,GLA Population Projections,402490,80.8,4979.3
Enfield,2050,GLA Population Projections,402838,80.8,4983.6
Greenwich,1999,ONS MYE,212168,47.3,4482.4
Greenwich,2000,ONS MYE,214438,47.3,4530.3
Greenwich,2001,ONS MYE,217460,47.3,4594.2
Greenwich,2002,ONS MYE,221476,47.3,4679.0
Greenwich,2003,ONS MYE,224303,47.3,4738.7
Greenwich,2004,ONS MYE,227190,47.3,4799.7
Greenwich,2005,ONS MYE,230494,47.3,4869.5
Greenwich,2006,ONS MYE,233990,47.3,4943.4
Greenwich,2007,ONS MYE,236535,47.3,4997.2
Greenwich,2008,ONS MYE,239748,47.3,5065.0
Greenwich,2009,ONS MYE,243672,47.3,5147.9
Greenwich,2010,ONS MYE,249171,47.3,5264.1
Greenwich,2011,GLA Population Projections,255483,47.3,5397.5
Greenwich,2012,GLA Population Projections,260068,47.3,5494.3
Greenwich,2013,GLA Population Projections,264008,47.3,5577.6
Greenwich,2014,GLA Population Projections,268678,47.3,5676.2
Greenwich,2015,GLA Population Projections,274803,47.3,5805.6
Greenwich,2016,GLA Population Projections,279766,47.3,5910.5
Greenwich,2017,GLA Population Projections,282774,47.3,5974.0
Greenwich,2018,GLA Population Projections,286322,47.3,6049.0
Greenwich,2019,GLA Population Projections,289650,47.3,6119.3
Greenwich,2020,GLA Population Projections,292466,47.3,6178.8
Greenwich,2021,GLA Population Projections,294837,47.3,6228.9
Greenwich,2022,GLA Population Projections,297039,47.3,6275.4
Greenwich,2023,GLA Population Projections,300514,47.3,6348.8
Greenwich,2024,GLA Population Projections,306500,47.3,6475.3
Greenwich,2025,GLA Population Projections,312027,47.3,6592.0
Greenwich,2026,GLA Population Projections,317560,47.3,6708.9
Greenwich,2027,GLA Population Projections,323061,47.3,6825.2
Greenwich,2028,GLA Population Projections,328388,47.3,6937.7
Greenwich,2029,GLA Population Projections,333795,47.3,7051.9
Greenwich,2030,GLA Population Projections,339418,47.3,7170.7
Greenwich,2031,GLA Population Projections,344437,47.3,7276.8
Greenwich,2032,GLA Population Projections,349135,47.3,7376.0
Greenwich,2033,GLA Population Projections,353695,47.3,7472.3
Greenwich,2034,GLA Population Projections,358219,47.3,7567.9
Greenwich,2035,GLA Population Projections,360886,47.3,7624.3
Greenwich,2036,GLA Population Projections,363025,47.3,7669.5
Greenwich,2037,GLA Population Projections,364972,47.3,7710.6
Greenwich,2038,GLA Population Projections,366856,47.3,7750.4
Greenwich,2039,GLA Population Projections,368760,47.3,7790.6
Greenwich,2040,GLA Population Projections,371519,47.3,7848.9
Greenwich,2041,GLA Population Projections,374341,47.3,7908.5
Greenwich,2042,GLA Population Projections,375162,47.3,7925.9
Greenwich,2043,GLA Population Projections,375549,47.3,7934.0
Greenwich,2044,GLA Population Projections,375999,47.3,7943.6
Greenwich,2045,GLA Population Projections,376759,47.3,7959.6
Greenwich,2046,GLA Population Projections,377807,47.3,7981.7
Greenwich,2047,GLA Population Projections,378995,47.3,8006.8
Greenwich,2048,GLA Population Projections,380244,47.3,8033.2
Greenwich,2049,GLA Population Projections,381675,47.3,8063.5
Greenwich,2050,GLA Population Projections,383314,47.3,8098.1
Hackney,1999,ONS MYE,199087,19.0,10451.3
Hackney,2000,ONS MYE,203381,19.0,10676.7
Hackney,2001,ONS MYE,207246,19.0,10879.6
Hackney,2002,ONS MYE,210961,19.0,11074.6
Hackney,2003,ONS MYE,212405,19.0,11150.4
Hackney,2004,ONS MYE,213581,19.0,11212.2
Hackney,2005,ONS MYE,216512,19.0,11366.0
Hackney,2006,ONS MYE,220193,19.0,11559.3
Hackney,2007,ONS MYE,224480,19.0,11784.3
Hackney,2008,ONS MYE,231041,19.0,12128.8
Hackney,2009,ONS MYE,236622,19.0,12421.7
Hackney,2010,ONS MYE,241739,19.0,12690.4
Hackney,2011,GLA Population Projections,247578,19.0,12996.9
Hackney,2012,GLA Population Projections,252515,19.0,13256.1
Hackney,2013,GLA Population Projections,257775,19.0,13532.2
Hackney,2014,GLA Population Projections,263546,19.0,13835.1
Hackney,2015,GLA Population Projections,269405,19.0,14142.7
Hackney,2016,GLA Population Projections,273922,19.0,14379.8
Hackney,2017,GLA Population Projections,277475,19.0,14566.4
Hackney,2018,GLA Population Projections,281740,19.0,14790.3
Hackney,2019,GLA Population Projections,286425,19.0,15036.2
Hackney,2020,GLA Population Projections,289488,19.0,15197.0
Hackney,2021,GLA Population Projections,292023,19.0,15330.1
Hackney,2022,GLA Population Projections,294312,19.0,15450.2
Hackney,2023,GLA Population Projections,296177,19.0,15548.1
Hackney,2024,GLA Population Projections,297569,19.0,15621.2
Hackney,2025,GLA Population Projections,298472,19.0,15668.6
Hackney,2026,GLA Population Projections,299126,19.0,15703.0
Hackney,2027,GLA Population Projections,299489,19.0,15722.0
Hackney,2028,GLA Population Projections,299494,19.0,15722.3
Hackney,2029,GLA Population Projections,299220,19.0,15707.9
Hackney,2030,GLA Population Projections,300157,19.0,15757.1
Hackney,2031,GLA Population Projections,301706,19.0,15838.4
Hackney,2032,GLA Population Projections,303472,19.0,15931.1
Hackney,2033,GLA Population Projections,305287,19.0,16026.4
Hackney,2034,GLA Population Projections,307078,19.0,16120.4
Hackney,2035,GLA Population Projections,309588,19.0,16252.2
Hackney,2036,GLA Population Projections,312334,19.0,16396.3
Hackney,2037,GLA Population Projections,315101,19.0,16541.6
Hackney,2038,GLA Population Projections,317824,19.0,16684.5
Hackney,2039,GLA Population Projections,320448,19.0,16822.3
Hackney,2040,GLA Population Projections,322757,19.0,16943.5
Hackney,2041,GLA Population Projections,324824,19.0,17052.0
Hackney,2042,GLA Population Projections,327534,19.0,17194.3
Hackney,2043,GLA Population Projections,330425,19.0,17346.0
Hackney,2044,GLA Population Projections,333410,19.0,17502.7
Hackney,2045,GLA Population Projections,336476,19.0,17663.7
Hackney,2046,GLA Population Projections,339633,19.0,17829.4
Hackney,2047,GLA Population Projections,342776,19.0,17994.4
Hackney,2048,GLA Population Projections,345846,19.0,18155.6
Hackney,2049,GLA Population Projections,348993,19.0,18320.8
Hackney,2050,GLA Population Projections,351640,19.0,18459.7
Hammersmith and Fulham,1999,ONS MYE,160634,16.4,9796.3
Hammersmith and Fulham,2000,ONS MYE,164393,16.4,10025.5
Hammersmith and Fulham,2001,ONS MYE,169374,16.4,10329.3
Hammersmith and Fulham,2002,ONS MYE,171989,16.4,10488.8
Hammersmith and Fulham,2003,ONS MYE,171510,16.4,10459.6
Hammersmith and Fulham,2004,ONS MYE,172083,16.4,10494.5
Hammersmith and Fulham,2005,ONS MYE,173292,16.4,10568.2
Hammersmith and Fulham,2006,ONS MYE,174675,16.4,10652.6
Hammersmith and Fulham,2007,ONS MYE,176472,16.4,10762.2
Hammersmith and Fulham,2008,ONS MYE,177088,16.4,10799.7
Hammersmith and Fulham,2009,ONS MYE,180116,16.4,10984.4
Hammersmith and Fulham,2010,ONS MYE,180842,16.4,11028.7
Hammersmith and Fulham,2011,GLA Population Projections,182790,16.4,11147.5
Hammersmith and Fulham,2012,GLA Population Projections,180195,16.4,10989.2
Hammersmith and Fulham,2013,GLA Population Projections,179030,16.4,10918.2
Hammersmith and Fulham,2014,GLA Population Projections,178710,16.4,10898.6
Hammersmith and Fulham,2015,GLA Population Projections,179754,16.4,10962.3
Hammersmith and Fulham,2016,GLA Population Projections,179998,16.4,10977.2
Hammersmith and Fulham,2017,GLA Population Projections,181889,16.4,11092.5
Hammersmith and Fulham,2018,GLA Population Projections,184050,16.4,11224.3
Hammersmith and Fulham,2019,GLA Population Projections,186075,16.4,11347.8
Hammersmith and Fulham,2020,GLA Population Projections,190721,16.4,11631.1
Hammersmith and Fulham,2021,GLA Population Projections,195981,16.4,11951.9
Hammersmith and Fulham,2022,GLA Population Projections,201406,16.4,12282.8
Hammersmith and Fulham,2023,GLA Population Projections,206689,16.4,12604.9
Hammersmith and Fulham,2024,GLA Population Projections,211895,16.4,12922.4
Hammersmith and Fulham,2025,GLA Population Projections,215227,16.4,13125.6
Hammersmith and Fulham,2026,GLA Population Projections,218686,16.4,13336.6
Hammersmith and Fulham,2027,GLA Population Projections,222083,16.4,13543.7
Hammersmith and Fulham,2028,GLA Population Projections,225391,16.4,13745.5
Hammersmith and Fulham,2029,GLA Population Projections,228724,16.4,13948.8
Hammersmith and Fulham,2030,GLA Population Projections,234251,16.4,14285.8
Hammersmith and Fulham,2031,GLA Population Projections,239390,16.4,14599.2
Hammersmith and Fulham,2032,GLA Population Projections,244265,16.4,14896.5
Hammersmith and Fulham,2033,GLA Population Projections,249003,16.4,15185.5
Hammersmith and Fulham,2034,GLA Population Projections,253686,16.4,15471.1
Hammersmith and Fulham,2035,GLA Population Projections,256319,16.4,15631.6
Hammersmith and Fulham,2036,GLA Population Projections,258582,16.4,15769.6
Hammersmith and Fulham,2037,GLA Population Projections,260678,16.4,15897.5
Hammersmith and Fulham,2038,GLA Population Projections,262724,16.4,16022.2
Hammersmith and Fulham,2039,GLA Population Projections,264737,16.4,16145.0
Hammersmith and Fulham,2040,GLA Population Projections,266557,16.4,16256.0
Hammersmith and Fulham,2041,GLA Population Projections,268418,16.4,16369.5
Hammersmith and Fulham,2042,GLA Population Projections,269070,16.4,16409.3
Hammersmith and Fulham,2043,GLA Population Projections,269366,16.4,16427.3
Hammersmith and Fulham,2044,GLA Population Projections,269591,16.4,16441.0
Hammersmith and Fulham,2045,GLA Population Projections,269815,16.4,16454.7
Hammersmith and Fulham,2046,GLA Population Projections,270052,16.4,16469.1
Hammersmith and Fulham,2047,GLA Population Projections,270210,16.4,16478.8
Hammersmith and Fulham,2048,GLA Population Projections,270315,16.4,16485.2
Hammersmith and Fulham,2049,GLA Population Projections,270525,16.4,16498.0
Hammersmith and Fulham,2050,GLA Population Projections,270774,16.4,16513.2
Haringey,1999,ONS MYE,218559,29.6,7384.2
Haringey,2000,ONS MYE,219845,29.6,7427.6
Haringey,2001,ONS MYE,221251,29.6,7475.1
Haringey,2002,ONS MYE,224474,29.6,7584.0
Haringey,2003,ONS MYE,225027,29.6,7602.7
Haringey,2004,ONS MYE,226472,29.6,7651.5
Haringey,2005,ONS MYE,229271,29.6,7746.1
Haringey,2006,ONS MYE,233174,29.6,7877.9
Haringey,2007,ONS MYE,236793,29.6,8000.2
Haringey,2008,ONS MYE,244459,29.6,8259.2
Haringey,2009,ONS MYE,249805,29.6,8439.8
Haringey,2010,ONS MYE,252742,29.6,8539.0
Haringey,2011,GLA Population Projections,256438,29.6,8663.9
Haringey,2012,GLA Population Projections,259810,29.6,8777.8
Haringey,2013,GLA Population Projections,264284,29.6,8929.0
Haringey,2014,GLA Population Projections,268439,29.6,9069.4
Haringey,2015,GLA Population Projections,273762,29.6,9249.2
Haringey,2016,GLA Population Projections,279349,29.6,9438.0
Haringey,2017,GLA Population Projections,282397,29.6,9541.0
Haringey,2018,GLA Population Projections,284288,29.6,9604.8
Haringey,2019,GLA Population Projections,285949,29.6,9661.0
Haringey,2020,GLA Population Projections,288913,29.6,9761.1
Haringey,2021,GLA Population Projections,291330,29.6,9842.8
Haringey,2022,GLA Population Projections,293503,29.6,9916.2
Haringey,2023,GLA Population Projections,295263,29.6,9975.6
Haringey,2024,GLA Population Projections,296572,29.6,10019.9
Haringey,2025,GLA Population Projections,297410,29.6,10048.2
Haringey,2026,GLA Population Projections,298020,29.6,10068.8
Haringey,2027,GLA Population Projections,298369,29.6,10080.6
Haringey,2028,GLA Population Projections,298376,29.6,10080.8
Haringey,2029,GLA Population Projections,298109,29.6,10071.8
Haringey,2030,GLA Population Projections,298983,29.6,10101.3
Haringey,2031,GLA Population Projections,300410,29.6,10149.5
Haringey,2032,GLA Population Projections,302018,29.6,10203.9
Haringey,2033,GLA Population Projections,303635,29.6,10258.5
Haringey,2034,GLA Population Projections,305201,29.6,10311.4
Haringey,2035,GLA Population Projections,307422,29.6,10386.4
Haringey,2036,GLA Population Projections,309847,29.6,10468.4
Haringey,2037,GLA Population Projections,312286,29.6,10550.8
Haringey,2038,GLA Population Projections,314694,29.6,10632.1
Haringey,2039,GLA Population Projections,317024,29.6,10710.9
Haringey,2040,GLA Population Projections,319077,29.6,10780.2
Haringey,2041,GLA Population Projections,320928,29.6,10842.8
Haringey,2042,GLA Population Projections,323387,29.6,10925.8
Haringey,2043,GLA Population Projections,326027,29.6,11015.0
Haringey,2044,GLA Population Projections,328763,29.6,11107.5
Haringey,2045,GLA Population Projections,331575,29.6,11202.5
Haringey,2046,GLA Population Projections,334469,29.6,11300.2
Haringey,2047,GLA Population Projections,337331,29.6,11396.9
Haringey,2048,GLA Population Projections,340108,29.6,11490.8
Haringey,2049,GLA Population Projections,342932,29.6,11586.2
Haringey,2050,GLA Population Projections,345855,29.6,11684.9
Harrow,1999,ONS MYE,207909,50.5,4120.0
Harrow,2000,ONS MYE,209114,50.5,4143.9
Harrow,2001,ONS MYE,210044,50.5,4162.4
Harrow,2002,ONS MYE,212336,50.5,4207.8
Harrow,2003,ONS MYE,213728,50.5,4235.4
Harrow,2004,ONS MYE,216267,50.5,4285.7
Harrow,2005,ONS MYE,221109,50.5,4381.6
Harrow,2006,ONS MYE,223632,50.5,4431.6
Harrow,2007,ONS MYE,226355,50.5,4485.6
Harrow,2008,ONS MYE,229567,50.5,4549.2
Harrow,2009,ONS MYE,233495,50.5,4627.1
Harrow,2010,ONS MYE,237451,50.5,4705.5
Harrow,2011,GLA Population Projections,241063,50.5,4777.0
Harrow,2012,GLA Population Projections,242941,50.5,4814.3
Harrow,2013,GLA Population Projections,243937,50.5,4834.0
Harrow,2014,GLA Population Projections,246575,50.5,4886.3
Harrow,2015,GLA Population Projections,247694,50.5,4908.5
Harrow,2016,GLA Population Projections,249316,50.5,4940.6
Harrow,2017,GLA Population Projections,252052,50.5,4994.8
Harrow,2018,GLA Population Projections,255369,50.5,5060.5
Harrow,2019,GLA Population Projections,258861,50.5,5129.7
Harrow,2020,GLA Population Projections,261348,50.5,5179.0
Harrow,2021,GLA Population Projections,263484,50.5,5221.4
Harrow,2022,GLA Population Projections,265449,50.5,5260.3
Harrow,2023,GLA Population Projections,267120,50.5,5293.4
Harrow,2024,GLA Population Projections,268448,50.5,5319.7
Harrow,2025,GLA Population Projections,269422,50.5,5339.0
Harrow,2026,GLA Population Projections,270238,50.5,5355.2
Harrow,2027,GLA Population Projections,270800,50.5,5366.3
Harrow,2028,GLA Population Projections,271504,50.5,5380.3
Harrow,2029,GLA Population Projections,273146,50.5,5412.8
Harrow,2030,GLA Population Projections,273953,50.5,5428.8
Harrow,2031,GLA Population Projections,275174,50.5,5453.0
Harrow,2032,GLA Population Projections,276552,50.5,5480.3
Harrow,2033,GLA Population Projections,277957,50.5,5508.2
Harrow,2034,GLA Population Projections,279329,50.5,5535.4
Harrow,2035,GLA Population Projections,281208,50.5,5572.6
Harrow,2036,GLA Population Projections,283245,50.5,5613.0
Harrow,2037,GLA Population Projections,285289,50.5,5653.5
Harrow,2038,GLA Population Projections,287311,50.5,5693.5
Harrow,2039,GLA Population Projections,289277,50.5,5732.5
Harrow,2040,GLA Population Projections,291024,50.5,5767.1
Harrow,2041,GLA Population Projections,292606,50.5,5798.5
Harrow,2042,GLA Population Projections,294673,50.5,5839.4
Harrow,2043,GLA Population Projections,296893,50.5,5883.4
Harrow,2044,GLA Population Projections,299199,50.5,5929.1
Harrow,2045,GLA Population Projections,301597,50.5,5976.6
Harrow,2046,GLA Population Projections,304099,50.5,6026.2
Harrow,2047,GLA Population Projections,306628,50.5,6076.3
Harrow,2048,GLA Population Projections,308303,50.5,6109.5
Harrow,2049,GLA Population Projections,308511,50.5,6113.6
Harrow,2050,GLA Population Projections,308750,50.5,6118.4
Havering,1999,ONS MYE,225712,112.3,2009.0
Havering,2000,ONS MYE,225141,112.3,2003.9
Havering,2001,ONS MYE,224717,112.3,2000.2
Havering,2002,ONS MYE,225054,112.3,2003.2
Havering,2003,ONS MYE,225248,112.3,2004.9
Havering,2004,ONS MYE,225769,112.3,2009.5
Havering,2005,ONS MYE,226990,112.3,2020.4
Havering,2006,ONS MYE,228198,112.3,2031.1
Havering,2007,ONS MYE,229789,112.3,2045.3
Havering,2008,ONS MYE,231793,112.3,2063.1
Havering,2009,ONS MYE,234127,112.3,2083.9
Havering,2010,ONS MYE,236234,112.3,2102.7
Havering,2011,GLA Population Projections,238281,112.3,2120.9
Havering,2012,GLA Population Projections,240087,112.3,2137.0
Havering,2013,GLA Population Projections,242434,112.3,2157.9
Havering,2014,GLA Population Projections,246328,112.3,2192.5
Havering,2015,GLA Population Projections,249439,112.3,2220.2
Havering,2016,GLA Population Projections,253137,112.3,2253.1
Havering,2017,GLA Population Projections,256162,112.3,2280.0
Havering,2018,GLA Population Projections,257511,112.3,2292.0
Havering,2019,GLA Population Projections,258655,112.3,2302.2
Havering,2020,GLA Population Projections,261830,112.3,2330.5
Havering,2021,GLA Population Projections,265930,112.3,2367.0
Havering,2022,GLA Population Projections,271368,112.3,2415.4
Havering,2023,GLA Population Projections,276649,112.3,2462.4
Havering,2024,GLA Population Projections,281728,112.3,2507.6
Havering,2025,GLA Population Projections,284971,112.3,2536.5
Havering,2026,GLA Population Projections,288319,112.3,2566.3
Havering,2027,GLA Population Projections,291556,112.3,2595.1
Havering,2028,GLA Population Projections,294661,112.3,2622.7
Havering,2029,GLA Population Projections,297731,112.3,2650.0
Havering,2030,GLA Population Projections,298889,112.3,2660.3
Havering,2031,GLA Population Projections,300329,112.3,2673.2
Havering,2032,GLA Population Projections,302003,112.3,2688.1
Havering,2033,GLA Population Projections,303770,112.3,2703.8
Havering,2034,GLA Population Projections,305552,112.3,2719.7
Havering,2035,GLA Population Projections,307605,112.3,2737.9
Havering,2036,GLA Population Projections,308828,112.3,2748.8
Havering,2037,GLA Population Projections,309902,112.3,2758.4
Havering,2038,GLA Population Projections,310941,112.3,2767.6
Havering,2039,GLA Population Projections,311948,112.3,2776.6
Havering,2040,GLA Population Projections,312776,112.3,2784.0
Havering,2041,GLA Population Projections,313651,112.3,2791.7
Havering,2042,GLA Population Projections,314259,112.3,2797.2
Havering,2043,GLA Population Projections,314554,112.3,2799.8
Havering,2044,GLA Population Projections,314784,112.3,2801.8
Havering,2045,GLA Population Projections,315023,112.3,2804.0
Havering,2046,GLA Population Projections,315284,112.3,2806.3
Havering,2047,GLA Population Projections,315450,112.3,2807.8
Havering,2048,GLA Population Projections,315571,112.3,2808.8
Havering,2049,GLA Population Projections,315789,112.3,2810.8
Havering,2050,GLA Population Projections,316043,112.3,2813.0
Hillingdon,1999,ONS MYE,245053,115.7,2118.0
Hillingdon,2000,ONS MYE,245911,115.7,2125.4
Hillingdon,2001,ONS MYE,245616,115.7,2122.8
Hillingdon,2002,ONS MYE,247063,115.7,2135.4
Hillingdon,2003,ONS MYE,248054,115.7,2143.9
Hillingdon,2004,ONS MYE,248691,115.7,2149.4
Hillingdon,2005,ONS MYE,251430,115.7,2173.1
Hillingdon,2006,ONS MYE,254387,115.7,2198.7
Hillingdon,2007,ONS MYE,256981,115.7,2221.1
Hillingdon,2008,ONS MYE,261051,115.7,2256.3
Hillingdon,2009,ONS MYE,265665,115.7,2296.1
Hillingdon,2010,ONS MYE,269465,115.7,2329.0
Hillingdon,2011,GLA Population Projections,276134,115.7,2386.6
Hillingdon,2012,GLA Population Projections,282391,115.7,2440.7
Hillingdon,2013,GLA Population Projections,287443,115.7,2484.4
Hillingdon,2014,GLA Population Projections,293325,115.7,2535.2
Hillingdon,2015,GLA Population Projections,298370,115.7,2578.8
Hillingdon,2016,GLA Population Projections,303106,115.7,2619.7
Hillingdon,2017,GLA Population Projections,307040,115.7,2653.7
Hillingdon,2018,GLA Population Projections,309926,115.7,2678.7
Hillingdon,2019,GLA Population Projections,312567,115.7,2701.5
Hillingdon,2020,GLA Population Projections,316253,115.7,2733.4
Hillingdon,2021,GLA Population Projections,319467,115.7,2761.1
Hillingdon,2022,GLA Population Projections,322492,115.7,2787.3
Hillingdon,2023,GLA Population Projections,325182,115.7,2810.5
Hillingdon,2024,GLA Population Projections,327456,115.7,2830.2
Hillingdon,2025,GLA Population Projections,329302,115.7,2846.1
Hillingdon,2026,GLA Population Projections,330872,115.7,2859.7
Hillingdon,2027,GLA Population Projections,332077,115.7,2870.1
Hillingdon,2028,GLA Population Projections,332843,115.7,2876.7
Hillingdon,2029,GLA Population Projections,333252,115.7,2880.3
Hillingdon,2030,GLA Population Projections,334770,115.7,2893.4
Hillingdon,2031,GLA Population Projections,336765,115.7,2910.6
Hillingdon,2032,GLA Population Projections,338845,115.7,2928.6
Hillingdon,2033,GLA Population Projections,340856,115.7,2946.0
Hillingdon,2034,GLA Population Projections,342761,115.7,2962.5
Hillingdon,2035,GLA Population Projections,345327,115.7,2984.6
Hillingdon,2036,GLA Population Projections,348098,115.7,3008.6
Hillingdon,2037,GLA Population Projections,350877,115.7,3032.6
Hillingdon,2038,GLA Population Projections,353636,115.7,3056.5
Hillingdon,2039,GLA Population Projections,356323,115.7,3079.7
Hillingdon,2040,GLA Population Projections,358723,115.7,3100.4
Hillingdon,2041,GLA Population Projections,360780,115.7,3118.2
Hillingdon,2042,GLA Population Projections,361550,115.7,3124.9
Hillingdon,2043,GLA Population Projections,361915,115.7,3128.0
Hillingdon,2044,GLA Population Projections,362197,115.7,3130.5
Hillingdon,2045,GLA Population Projections,362486,115.7,3133.0
Hillingdon,2046,GLA Population Projections,362792,115.7,3135.6
Hillingdon,2047,GLA Population Projections,362998,115.7,3137.4
Hillingdon,2048,GLA Population Projections,363140,115.7,3138.6
Hillingdon,2049,GLA Population Projections,363401,115.7,3140.9
Hillingdon,2050,GLA Population Projections,363708,115.7,3143.5
Hounslow,1999,ONS MYE,214298,56.0,3828.3
Hounslow,2000,ONS MYE,214731,56.0,3836.0
Hounslow,2001,ONS MYE,215976,56.0,3858.2
Hounslow,2002,ONS MYE,216888,56.0,3874.5
Hounslow,2003,ONS MYE,216498,56.0,3867.6
Hounslow,2004,ONS MYE,219440,56.0,3920.1
Hounslow,2005,ONS MYE,223776,56.0,3997.6
Hounslow,2006,ONS MYE,228126,56.0,4075.3
Hounslow,2007,ONS MYE,233454,56.0,4170.5
Hounslow,2008,ONS MYE,237907,56.0,4250.0
Hounslow,2009,ONS MYE,243366,56.0,4347.5
Hounslow,2010,ONS MYE,249236,56.0,4452.4
Hounslow,2011,GLA Population Projections,255334,56.0,4561.3
Hounslow,2012,GLA Population Projections,259459,56.0,4635.0
Hounslow,2013,GLA Population Projections,262814,56.0,4695.0
Hounslow,2014,GLA Population Projections,265975,56.0,4751.4
Hounslow,2015,GLA Population Projections,269177,56.0,4808.6
Hounslow,2016,GLA Population Projections,271546,56.0,4850.9
Hounslow,2017,GLA Population Projections,274970,56.0,4912.1
Hounslow,2018,GLA Population Projections,278264,56.0,4971.0
Hounslow,2019,GLA Population Projections,281339,56.0,5025.9
Hounslow,2020,GLA Population Projections,284358,56.0,5079.8
Hounslow,2021,GLA Population Projections,286947,56.0,5126.1
Hounslow,2022,GLA Population Projections,289358,56.0,5169.1
Hounslow,2023,GLA Population Projections,291460,56.0,5206.7
Hounslow,2024,GLA Population Projections,293167,56.0,5237.2
Hounslow,2025,GLA Population Projections,294459,56.0,5260.3
Hounslow,2026,GLA Population Projections,295790,56.0,5284.0
Hounslow,2027,GLA Population Projections,297418,56.0,5313.1
Hounslow,2028,GLA Population Projections,298986,56.0,5341.1
Hounslow,2029,GLA Population Projections,300658,56.0,5371.0
Hounslow,2030,GLA Population Projections,301808,56.0,5391.6
Hounslow,2031,GLA Population Projections,303058,56.0,5413.9
Hounslow,2032,GLA Population Projections,304489,56.0,5439.4
Hounslow,2033,GLA Population Projections,305958,56.0,5465.7
Hounslow,2034,GLA Population Projections,307402,56.0,5491.5
Hounslow,2035,GLA Population Projections,309487,56.0,5528.7
Hounslow,2036,GLA Population Projections,311775,56.0,5569.6
Hounslow,2037,GLA Population Projections,314076,56.0,5610.7
Hounslow,2038,GLA Population Projections,316354,56.0,5651.4
Hounslow,2039,GLA Population Projections,318561,56.0,5690.8
Hounslow,2040,GLA Population Projections,320507,56.0,5725.6
Hounslow,2041,GLA Population Projections,322250,56.0,5756.7
Hounslow,2042,GLA Population Projections,324566,56.0,5798.1
Hounslow,2043,GLA Population Projections,327038,56.0,5842.3
Hounslow,2044,GLA Population Projections,329580,56.0,5887.7
Hounslow,2045,GLA Population Projections,332197,56.0,5934.4
Hounslow,2046,GLA Population Projections,334905,56.0,5982.8
Hounslow,2047,GLA Population Projections,337605,56.0,6031.0
Hounslow,2048,GLA Population Projections,340243,56.0,6078.2
Hounslow,2049,GLA Population Projections,342944,56.0,6126.4
Hounslow,2050,GLA Population Projections,345756,56.0,6176.7
Islington,1999,ONS MYE,175717,14.9,11827.5
Islington,2000,ONS MYE,177852,14.9,11971.2
Islington,2001,ONS MYE,179387,14.9,12074.5
Islington,2002,ONS MYE,180118,14.9,12123.7
Islington,2003,ONS MYE,180899,14.9,12176.3
Islington,2004,ONS MYE,180831,14.9,12171.7
Islington,2005,ONS MYE,183477,14.9,12349.8
Islington,2006,ONS MYE,185283,14.9,12471.4
Islington,2007,ONS MYE,188636,14.9,12697.1
Islington,2008,ONS MYE,192089,14.9,12929.5
Islington,2009,ONS MYE,196704,14.9,13240.1
Islington,2010,ONS MYE,200129,14.9,13470.7
Islington,2011,GLA Population Projections,206639,14.9,13908.9
Islington,2012,GLA Population Projections,211400,14.9,14229.3
Islington,2013,GLA Population Projections,216024,14.9,14540.6
Islington,2014,GLA Population Projections,221383,14.9,14901.3
Islington,2015,GLA Population Projections,228045,14.9,15349.7
Islington,2016,GLA Population Projections,233218,14.9,15697.9
Islington,2017,GLA Population Projections,235370,14.9,15842.7
Islington,2018,GLA Population Projections,238267,14.9,16037.7
